Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,314.880005,342.890015,290.760010,341.010010,341.010010,148046300
2017-06-01,344.000000,386.989990,334.209991,361.609985,361.609985,185899400
2017-07-01,370.239990,371.350006,303.130005,323.470001,323.470001,181640000
2017-08-01,323.000000,370.000000,311.220001,355.899994,355.899994,136925100
2017-09-01,356.119995,389.609985,335.399994,341.100006,341.100006,111512700
2017-10-01,342.519989,363.000000,316.660004,331.529999,331.529999,123036700
2017-11-01,332.250000,332.609985,292.630005,308.850006,308.850006,148812800
2017-12-01,305.440002,347.440002,300.000000,311.350006,311.350006,109884700
2018-01-01,312.000000,360.500000,305.679993,354.309998,354.309998,124271500
2018-02-01,351.000000,359.989990,294.760010,343.059998,343.059998,109190000
2018-03-01,345.010010,348.670013,248.210007,266.130005,266.130005,157094000
2018-03-29,256.489990,270.959900,248.210007,266.130005,266.130005,15170749
